,Location1,Location2,Strand,Length,PID,Gene,Synonym,Code,COG,Product
1,190,255,+,21,1786182,thrL,b0001,-,-,thr operon leader peptide
2,337,2799,+,820,1786183,thrA,b0002,-,-,Bifunctional aspartokinase/homoserine dehydrogenase 1
3,2801,3733,+,310,1786184,thrB,b0003,-,-,homoserine kinase
4,3734,5020,+,428,1786185,thrC,b0004,-,-,L-threonine synthase
5,5234,5530,+,98,1786186,yaaX,b0005,-,-,DUF2502 family putative periplasmic protein
6,5683,6459,-,258,1786187,yaaA,b0006,-,-,"peroxide resistance protein, lowers intracellular iron"
7,6529,7959,-,476,1786188,yaaJ,b0007,-,-,putative transporter
8,8238,9191,+,317,1786189,talB,b0008,-,-,transaldolase B
9,9306,9893,+,195,1786190,mog,b0009,-,-,molybdochelatase incorporating molybdenum into molybdopterin
10,9928,10494,-,188,1786191,satP,b0010,-,-,succinate-acetate transporter
11,10643,11356,-,237,1786193,yaaW,b0011,-,-,UPF0174 family protein
12,11382,11786,-,134,1786195,yaaI,b0013,-,-,UPF0412 family protein
13,12163,14079,+,638,1786196,dnaK,b0014,-,-,"chaperone Hsp70, with co-chaperone DnaJ"
14,14168,15298,+,376,1786197,dnaJ,b0015,-,-,"chaperone Hsp40, DnaK co-chaperone"
15,15445,16557,+,370,1786198,insL1,b0016,-,-,IS186 transposase
16,16751,16960,-,69,1786200,mokC,b0018,-,-,"regulatory protein for HokC, overlaps CDS of hokC"
17,16751,16903,-,50,48994874,hokC,b4412,-,-,"toxic membrane protein, small"
18,17489,18655,+,388,1786201,nhaA,b0019,-,-,sodium-proton antiporter
19,18715,19620,+,301,1786202,nhaR,b0020,-,-,transcriptional activator of nhaA
20,19811,20314,-,167,1786203,insB1,b0021,-,-,IS1 transposase B
21,20233,20508,-,91,1786204,insA,b0022,-,-,IS1 repressor TnpA
22,20815,21078,-,87,1786206,rpsT,b0023,-,-,30S ribosomal subunit protein S20
23,21181,21399,+,72,1786207,yaaY,b0024,-,-,uncharacterized protein
24,21407,22348,+,313,1786208,ribF,b0025,-,-,bifunctional riboflavin kinase/FAD synthetase
25,22391,25207,+,938,2367096,ileS,b0026,-,-,isoleucyl-tRNA synthetase
26,25207,25701,+,164,1786210,lspA,b0027,-,-,prolipoprotein signal peptidase (signal peptidase II)
27,25826,26275,+,149,1786211,fkpB,b0028,-,-,FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)
28,26277,27227,+,316,1786212,ispH,b0029,-,-,"4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein"
29,27293,28207,+,304,1786213,rihC,b0030,-,-,ribonucleoside hydrolase 3
30,28374,29195,+,273,1786214,dapB,b0031,-,-,dihydrodipicolinate reductase
31,29651,30799,+,382,1786215,carA,b0032,-,-,"carbamoyl phosphate synthetase small subunit, glutamine amidotransferase"
32,30817,34038,+,1073,1786216,carB,b0033,-,-,carbamoyl-phosphate synthase large subunit
33,34300,34695,+,131,87081680,caiF,b0034,-,-,cai operon transcriptional activator
34,34781,35371,-,196,87081681,caiE,b0035,-,-,stimulator of CaiD and CaiB enzyme activities
35,35377,36162,-,261,221142681,caiD,b0036,-,-,carnitinyl-CoA dehydratase
36,36271,37824,-,517,221142682,caiC,b0037,-,-,putative crotonobetaine/carnitine-CoA ligase
37,37898,39115,-,405,1786222,caiB,b0038,-,-,crotonobetainyl CoA:carnitine CoA transferase
38,39244,40386,-,380,1786223,caiA,b0039,-,-,"crotonobetaine reductase subunit II, FAD-binding"
39,40417,41931,-,504,1786224,caiT,b0040,-,-,putative transporter
40,42403,43173,+,256,87081682,fixA,b0041,-,-,anaerobic carnitine reduction putative electron transfer flavoprotein subunit
41,43188,44129,+,313,1786226,fixB,b0042,-,-,"putative electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein"
42,44180,45466,+,428,1786227,fixC,b0043,-,-,putative oxidoreductase
43,45463,45750,+,95,1786228,fixX,b0044,-,-,putative 4Fe-4S ferredoxin-type protein
44,45807,47138,+,443,1786229,yaaU,b0045,-,-,putative transporter
45,47246,47776,+,176,1786231,kefF,b0046,-,-,"potassium-efflux system ancillary protein for KefC, glutathione-regulated; quinone oxidoreductase, FMN-dependent"
46,47769,49631,+,620,1786232,kefC,b0047,-,-,potassium:proton antiporter
47,49823,50302,+,159,1786233,folA,b0048,-,-,dihydrofolate reductase
48,50380,51222,-,280,1786234,apaH,b0049,-,-,diadenosine tetraphosphatase
49,51229,51606,-,125,1786235,apaG,b0050,-,-,protein associated with Co2+ and Mg2+ efflux
50,51609,52430,-,273,1786236,rsmA,b0051,-,-,"16S rRNA m(6)A1518, m(6)A1519 dimethyltransferase, SAM-dependent"
51,52427,53416,-,329,1786237,pdxA,b0052,-,-,"4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent"
52,53416,54702,-,428,1786238,surA,b0053,-,-,peptidyl-prolyl cis-trans isomerase (PPIase)
53,54755,57109,-,784,1786239,lptD,b0054,-,-,"LPS assembly OM complex LptDE, beta-barrel component"
54,57364,58179,+,271,1786241,djlA,b0055,-,-,"membrane-anchored DnaK co-chaperone, DNA-binding protein"
55,59687,60346,-,219,1786244,rluA,b0058,-,-,"dual specificity 23S rRNA pseudouridine(746), tRNA pseudouridine(32) synthase, SAM-dependent"
56,60358,63264,-,968,1786245,rapA,b0059,-,-,"RNA polymerase remodeling/recycling factor ATPase; RNA polymerase-associated, ATP-dependent RNA translocase"
57,63429,65780,-,783,1786246,polB,b0060,-,-,DNA polymerase II
58,65855,66550,-,231,1786247,araD,b0061,-,-,L-ribulose-5-phosphate 4-epimerase
59,66835,68337,-,500,1786248,araA,b0062,-,-,L-arabinose isomerase
60,68348,70048,-,566,1786249,araB,b0063,-,-,L-ribulokinase
61,70387,71265,+,292,1786251,araC,b0064,-,-,ara regulon transcriptional activator; autorepressor
62,71351,72115,+,254,1786252,yabI,b0065,-,-,DedA family inner membrane protein
63,72229,72927,-,232,1786253,thiQ,b0066,-,-,"thiamine, thiamine pyrophosphate ABC transporter ATPase; ThiBPQ thiamine, thiamine pyrophosphate importer"
64,72911,74521,-,536,1786254,thiP,b0067,-,-,"thiamine, thiamine pyrophosphate ABC transporter permease; ThiBPQ thiamine, thiamine pyrophosphate importer"
65,74497,75480,-,327,1786255,thiB,b0068,-,-,"thiamine-, thiamine pyrophosphate-, thiamine monophosphate-binding ABC transporter periplasmic protein; ThiBPQ thiamine, thiamine pyrophosphate importer"
66,75644,77299,-,551,1786256,sgrR,b0069,-,-,transcriptional DNA-binding transcriptional activator of sgrS sRNA
67,77388,77519,+,43,226510924,sgrT,b4662,-,-,inhibitor of glucose uptake
68,77621,78799,+,392,48994875,setA,b0070,-,-,broad specificity sugar efflux system
69,78848,79453,-,201,1786258,leuD,b0071,-,-,3-isopropylmalate dehydratase small subunit
70,79464,80864,-,466,1786259,leuC,b0072,-,-,3-isopropylmalate dehydratase large subunit
